Almendra,Fruto del almendro Es una drupa oblonga con pericarpio formado por un epicarpio membranoso un mesocarpio coriáceo y un endocarpio leñoso o hueso que contiene la semilla envuelta en una película de color canela
Acercar,Poner cerca o a menor distancia de lugar o tiempo Acercó la radio para escuchar las noticias Se acercan las vacaciones de Navidad Los dos países se han acercado políticamente
Abeja,Insecto himenóptero de unos quince milímetros de largo de color pardo negruzco y vello rojizo que vive en colonias y produce cera y miel
Antes,Denota prioridad de lugar
Aves,Animal vertebrado ovíparo de respiración pulmonar y sangre de temperatura constante pico córneo cuerpo cubierto de plumas con dos patas y dos alas aptas por lo común para el vuelo y que en estado embrionario tiene amnios y alantoides
Anticongelante,Que impide la congelación
Atleta,Hombre que tomaba parte en los antiguos juegos públicos de y
Armario,Mueble con puertas y estantes o perchas para guardar ropa y otros objetos
Alcohol,Cada uno de los compuestos orgánicos que contienen el grupo hidroxilo unido a un radical alifático o a alguno de sus derivados
Alfiler,Clavo metálico muy fino que sirve generalmente para prender o sujetar alguna parte de los vestidos los tocados y otros adornos de la persona
Amontonar,Poner unas cosas sobre otras sin orden ni concierto
Arriba,En un lugar que está más alto o en la parte alta La antena está arriba
