Convexo,Curvado hacia fuera como el exterior de un cuenco
Copiloto,Piloto auxiliar
Cazar,Buscar o perseguir aves fieras y otras muchas clases de animales para cobrar o matar
Cuadrado,Dicho de una figura plana Cerrada por cuatro líneas rectas iguales que forman otros tantos ángulos rectos
Convento,Casa o monasterio en que viven los religiosos o religiosas bajo las reglas de su instituto
Clima,Conjunto de condiciones atmosféricas que caracterizan una región
Caramelo,Azúcar fundido y endurecido
Carambola,Fruto del carambolo del tamaño de un huevo de gallina amarillo y de sabor agrio que contiene pepitas en cuatro celdillas
Combustible,Que puede arder
Cebar,Dar comida a los animales para aumentar su peso
Cachorro,Cría del perro y de algunos mamíferos como el león el lobo el oso
Caravana,Grupo o comitiva de personas que en cabalgaduras o vehículos viajan o se desplazan unos tras otros
Casco,caja del encéfalo
Cohete,Fuego de artificio que consta de un canuto resistente cargado de pólvora y adherido al extremo de una varilla ligera Encendida la mecha que va en la parte inferior del canuto la reacción que producen los gases expulsados le imprime un rápido movimiento hacia la altura donde estalla con fuerte estampido
