Pelear,combatir o contender con armas
Pantalla,Lámina que se sujeta delante o alrededor de un foco luminoso artificial para que la luz no moleste a los ojos o para dirigirla hacia donde se quiera
Pollo,Cría que nace del huevo de un ave y en especial la de la gallina
Pelo,Filamento cilíndrico delgado de naturaleza córnea que nace y crece en la piel de algunos animales especialmente los mamíferos
Pauta,Instrumento o aparato para rayar el papel blanco a fin de que al escribir no se tuerzan los renglones
Peso,Fuerza con que la Tierra atrae a un cuerpo
Palabra,Unidad lingüística dotada generalmente de significado que se separa de las demás mediante pausas potenciales en la pronunciación y blancos en la escritura
Perro,Mamífero doméstico de la familia de los cánidos de tamaño forma y pelaje muy diversos según las razas que tiene olfato muy fino y es inteligente y muy leal a su dueño
Pegamento,Sustancia propia para unir mediante una sustancia
Pagar,Dicho de una persona Dar a otra o satisfacer lo que le debe
Peste,Enfermedad contagiosa y grave que causa gran mortandad
